COMPANY,TITLE,COMPANY_URL,LOCATION,BENEFIT,JOB_URL,LISTING_DATE
Akbank,Veri Bilimi Yönetici Yardımcısı,https://tr.linkedin.com/company/akbank?trk=public_jobs_jserp-result_job-search-card-subtitle,"Istanbul, Turkey",Actively Hiring,https://tr.linkedin.com/jobs/view/veri-bilimi-y%C3%B6netici-yard%C4%B1mc%C4%B1s%C4%B1-at-akbank-3533274349?refId=Ya6FkuAUvbZTd8IKsNQ6OA%3D%3D&trackingId=y3peppNNSlXF7VT6zXSZpQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,3 days ago
Sony,Digital Analyst,https://jp.linkedin.com/company/sony?trk=public_jobs_jserp-result_job-search-card-subtitle,"Istanbul, Turkey",Actively Hiring,https://tr.linkedin.com/jobs/view/digital-analyst-at-sony-3597032701?refId=Ya6FkuAUvbZTd8IKsNQ6OA%3D%3D&trackingId=5vHP5JfMgo7PCHd0Oe3CxQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,1 week ago
Invio,Ürün ve Sistem Yöneticisi,https://www.linkedin.com/company/invio?trk=public_jobs_jserp-result_job-search-card-subtitle,"Istanbul, Turkey",Actively Hiring,https://tr.linkedin.com/jobs/view/%C3%BCr%C3%BCn-ve-sistem-y%C3%B6neticisi-at-invio-3598987570?refId=Ya6FkuAUvbZTd8IKsNQ6OA%3D%3D&trackingId=ob4CXgGXCpbcl8Kp7dDlzA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,1 week ago
Atarev Software Solutions,Python Developer,https://tr.linkedin.com/company/atarev-software-solutions?trk=public_jobs_jserp-result_job-search-card-subtitle,Turkey,Be an early applicant,https://tr.linkedin.com/jobs/view/python-developer-at-atarev-software-solutions-3605818169?refId=Ya6FkuAUvbZTd8IKsNQ6OA%3D%3D&trackingId=FlS4BfDHo0GhteruUM1FaQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,6 days ago
Migros One,Data Analyst,https://tr.linkedin.com/company/migros-one?trk=public_jobs_jserp-result_job-search-card-subtitle,"Istanbul, Turkey",Actively Hiring,https://tr.linkedin.com/jobs/view/data-analyst-at-migros-one-3599751878?refId=Ya6FkuAUvbZTd8IKsNQ6OA%3D%3D&trackingId=njrNCiPkGT9VHRpJzTBUYA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,2 weeks ago
OPET,Veri Bilimcisi,https://tr.linkedin.com/company/opet?trk=public_jobs_jserp-result_job-search-card-subtitle,"Istanbul, Turkey",Actively Hiring,https://tr.linkedin.com/jobs/view/veri-bilimcisi-at-opet-3555217025?refId=Ya6FkuAUvbZTd8IKsNQ6OA%3D%3D&trackingId=f%2BKoi9nKRexokMnH7NE9qw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,4 days ago
Huawei,Fresh Graduate Cloud Engineer,https://cn.linkedin.com/company/huawei?trk=public_jobs_jserp-result_job-search-card-subtitle,"Istanbul, Turkey",Actively Hiring,https://tr.linkedin.com/jobs/view/fresh-graduate-cloud-engineer-at-huawei-3599387014?refId=Ya6FkuAUvbZTd8IKsNQ6OA%3D%3D&trackingId=VefJ5%2BS2M%2BEJYfuNFrVf%2BQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,2 weeks ago
QNB Finansbank,Product Analyst/Qnbeyond,https://tr.linkedin.com/company/qnb-finansbank?trk=public_jobs_jserp-result_job-search-card-subtitle,"Istanbul, Istanbul, Turkey",Actively Hiring,https://tr.linkedin.com/jobs/view/product-analyst-qnbeyond-at-qnb-finansbank-3580161960?refId=Ya6FkuAUvbZTd8IKsNQ6OA%3D%3D&trackingId=UWZ%2FHcPt20r5ehoOv74x3Q%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,1 week ago
KoçDigital,ANALYTICS CONSULTANT (CK5197),https://tr.linkedin.com/company/koc-digital?trk=public_jobs_jserp-result_job-search-card-subtitle,"Istanbul, Turkey",Actively Hiring,https://tr.linkedin.com/jobs/view/analytics-consultant-ck5197-at-ko%C3%A7digital-3593519161?refId=Ya6FkuAUvbZTd8IKsNQ6OA%3D%3D&trackingId=%2B8c6vLr3MiVQ9JT%2FJcFnRw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,3 days ago
NielsenIQ,Business Analyst,https://www.linkedin.com/company/nielseniq?trk=public_jobs_jserp-result_job-search-card-subtitle,"Istanbul, Istanbul, Turkey",Actively Hiring,https://tr.linkedin.com/jobs/view/business-analyst-at-nielseniq-3604170383?refId=Ya6FkuAUvbZTd8IKsNQ6OA%3D%3D&trackingId=ffVaXZ0aU3v56U0sfr5f3w%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,2 weeks ago
Koçtaş,Veri Mühendisi,https://tr.linkedin.com/company/koctas?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cekmekoy, Istanbul, Turkey",Actively Hiring,https://tr.linkedin.com/jobs/view/veri-m%C3%BChendisi-at-ko%C3%A7ta%C5%9F-3581100931?refId=Ya6FkuAUvbZTd8IKsNQ6OA%3D%3D&trackingId=EOk7IpGq%2B5yis1LeU%2BqEbg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,3 days ago
AVD Consultancy,Data Scientist,https://tr.linkedin.com/company/avdconsultancy?trk=public_jobs_jserp-result_job-search-card-subtitle,"Kadikoy, Istanbul, Turkey",Actively Hiring,https://tr.linkedin.com/jobs/view/data-scientist-at-avd-consultancy-3603242811?refId=Ya6FkuAUvbZTd8IKsNQ6OA%3D%3D&trackingId=BVAayZC4Ruw7BurBqTxunQ%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,3 weeks ago
TEB,İş Analisti (Temel Bankacılık),https://tr.linkedin.com/company/teb?trk=public_jobs_jserp-result_job-search-card-subtitle,"Istanbul, Turkey",Actively Hiring,https://tr.linkedin.com/jobs/view/i%CC%87%C5%9F-analisti-temel-bankac%C4%B1l%C4%B1k-at-teb-3603503557?refId=Ya6FkuAUvbZTd8IKsNQ6OA%3D%3D&trackingId=10n4MwcOtPKOQTd7Pw0D5A%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,3 weeks ago
